Designator,Mid X,Mid Y,Rotation,Layer
K5_6,272.415,-137.541,0.0,top
K5_7,291.465,-137.541,0.0,top
K5_8,310.515,-137.541,0.0,top
K5_9,329.565,-137.541,0.0,top
L4,196.2,-129.8,90.0,bottom
Q1,310.7,-106.8,180.0,bottom
Q2,315.3,-106.8,180.0,bottom
R1,56.75,-48.5,180.0,bottom
R10,59.5,-34.0,90.0,bottom
R12,94.6785,-53.1495,180.0,bottom
R13,307.3,-106.8,90.0,bottom
R14,311.4,-104.0,180.0,bottom
R3,96.774,-53.1495,180.0,bottom
R4,97.3455,-51.183,90.0,bottom
R6,45.8,-34.0,90.0,top
R7,56.75,-50.0,0.0,bottom
R8,56.843,-51.5,180.0,bottom
R9,47.5,-34.0,90.0,bottom
SW1,205.8,-137.4,270.0,top
U2,53.2805,-50.9675,0.0,bottom
U4,297.8,-118.3,0.0,bottom
U5,53.2,-37.3,90.0,bottom
U6,188.5,-139.0,180.0,bottom
Y3,180.8,-128.2,90.0,bottom
